  TidValueString;1;2;3;4;5;6;7;9;0;1;2;3;5;6;7;9;0;1;3;5;6;7;9;0;1;2;3;5;6;7;9;0;1;2;3;5;6;7;9;0;1;2;5;6;7;9;0;1;2;3;5;7;9;0;1;2;3;5;6;7;9;0;1;2;3;5;6;7;9;0;1;2;3;5;6;9;0;1;2;3;5;6;7;9;0;1;2;3;5;6;7;9;10;8;0;1;2;3;5;6;7;0;2;3;5;6;7;9;0;1;2;3;5;6;7;9;0;1;2;3;6;7;9
  Description;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0
TX Totals:
  TxPackets;616;246792;3433;110;13750;3434;3435;3435;2466926;616;246792;3433;13750;3434;3435;3435;2466926;616;3433;13750;3434;3435;3435;2466926;616;246792;3433;13750;3434;3435;3435;2466926;616;246792;3433;13750;3434;3435;3435;2466926;616;246792;13750;3434;3435;3435;2466926;616;246792;3433;13750;3435;3435;2466926;616;246792;3433;13750;3434;3435;3435;2466926;616;246792;3433;13750;3434;3435;3435;2466926;616;246792;3433;13750;3434;3435;2466926;616;246792;3433;13750;3434;3435;3435;2466926;616;246792;3433;13750;3434;3435;3435;3437;3436;2466926;616;246792;3433;13750;3434;3435;2466926;246792;3433;13750;3434;3435;3435;2466926;616;246792;3433;13750;3434;3435;3435;2466926;616;246792;3433;3434;3435;3435
RX Totals:
  RxPercent;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
  RxBpsL1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
  RxBpsL2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
  RxPps;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
  RxBytes;67760;27147120;2731474;12100;10821429;2732198;2732592;2732592;271361860;67760;27147120;2731474;10821429;2732198;2732592;2732592;271361860;67760;2731474;10821429;2732198;2732592;2732592;271361860;67760;27147120;2731474;10821429;2732198;2732592;2732592;271361860;67760;27147120;2731474;10821429;2732198;2732592;2732592;271361860;67760;27147120;10821429;2732198;2732592;2732592;271361860;67760;27147120;2731474;10821429;2732592;2732592;271361860;67760;27147120;2731474;10821429;2732198;2732592;2732592;271361860;67760;27147120;2731474;10821429;2732198;2732592;2732592;271361860;67760;27147120;2731474;10821429;2732198;2732592;271361860;67760;27147120;2731474;10821429;2732198;2732592;2732592;271361860;67760;27147120;2731474;10821429;2732198;2732592;2732592;2734719;2733845;271361860;67760;27147120;2731474;10821429;2732198;2732592;271361860;27147120;2731474;10821429;2732198;2732592;2732592;271361860;67760;27147120;2731474;10821429;2732198;2732592;2732592;271361860;67760;27147120;2731474;2732198;2732592;2732592
  RxPackets;616;246792;3433;110;13750;3434;3435;3435;2466926;616;246792;3433;13750;3434;3435;3435;2466926;616;3433;13750;3434;3435;3435;2466926;616;246792;3433;13750;3434;3435;3435;2466926;616;246792;3433;13750;3434;3435;3435;2466926;616;246792;13750;3434;3435;3435;2466926;616;246792;3433;13750;3435;3435;2466926;616;246792;3433;13750;3434;3435;3435;2466926;616;246792;3433;13750;3434;3435;3435;2466926;616;246792;3433;13750;3434;3435;2466926;616;246792;3433;13750;3434;3435;3435;2466926;616;246792;3433;13750;3434;3435;3435;3437;3436;2466926;616;246792;3433;13750;3434;3435;2466926;246792;3433;13750;3434;3435;3435;2466926;616;246792;3433;13750;3434;3435;3435;2466926;616;246792;3433;3434;3435;3435
RX Errors:
  TxRxDiff;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
  LostPackets;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
  MisorderPackets;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
  PayloadErrors;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
  BitErrorRate;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
RX Latency:
  AggrMinLatency;10537;2559;2062;10152;8845;4868;7370;9462;2559;10585;2535;2206;8869;4972;7370;9487;2535;10633;2174;8893;5093;7394;9511;2559;10633;2535;2078;8869;5069;7394;9487;2559;10609;2607;2078;8893;5117;7346;9422;2559;10657;2559;8893;5117;7386;9422;4483;7530;4459;3834;6343;4531;6776;4483;7554;4459;3858;6376;2286;4531;6776;4459;7578;4507;3906;6376;2358;4555;6800;6985;5028;6913;6191;4098;4347;4483;6937;4908;6913;6191;4122;4347;2334;4483;6961;4932;6937;6239;4106;4371;2383;4467;2294;2326;9567;2655;9519;8653;2110;6857;4660;9567;9543;8677;2126;6905;4708;2366;9567;2583;9519;8653;2142;6833;4660;2342;9591;2631;9567;8701;6905;4708;2391
  AggrAvgLatency;11602;2813;2782;10492;11120;6030;8689;11241;3020;12592;3039;2871;11224;6129;8782;11329;3001;12435;2860;11217;6122;8781;11323;3064;12585;3039;2891;11210;6114;8770;11315;3087;12611;3060;2919;11243;6146;8800;11348;3065;12616;3059;11249;6178;8834;11381;5175;9392;5155;5078;8018;5597;8143;5190;9391;5149;5064;8025;2890;5601;8147;5214;9412;5172;5075;8024;2914;5596;8143;7847;6451;7768;7740;5383;5588;5511;7868;6679;7778;7751;5377;5596;2906;5500;7874;6702;7780;7736;5380;5580;2918;5500;2862;2858;10620;4145;10494;10521;2848;8384;5737;10657;10506;10538;2855;8401;5754;2942;10616;4121;10474;10504;2816;8365;5721;2922;10625;4180;10485;10458;8396;5739;2949
  AggrMaxLatency;19196;15356;11796;22708;21650;7209;18050;21129;24520;23262;18387;15059;24472;10962;18050;21201;24545;23262;15059;24472;11010;18074;21225;24520;23189;18411;15059;24448;10401;18074;21201;24545;23310;18411;15083;24448;10425;18170;21225;18507;23310;18411;22789;10425;18170;21249;26733;19918;20816;17633;20535;14851;18122;26758;19942;20840;17513;20560;9326;14947;18146;26758;20062;20864;17561;20584;9374;14778;18146;29019;17489;23438;20086;15837;14185;20816;29067;20952;23462;20207;15861;14185;12108;20840;29091;20952;23486;20231;16182;14209;12108;20864;3096;3064;35762;17160;28377;21257;13712;13608;16182;31865;28353;21161;13808;13632;16278;11138;35762;17160;28377;21185;13784;13608;16182;12838;35906;17304;26357;14971;9639;9038;4034
