  TidValueString,1,2,3,4,5,6,7,8,9,10,0,1,2,3,5,6,7,8,9,10,0,1,3,5,6,7,8,9,10,0,1,2,3,5,6,7,8,9,10,0,1,2,3,5,6,7,8,9,10,0,1,2,5,6,7,8,9,10,0,1,2,3,5,7,8,9,10,0,1,2,3,5,6,7,8,9,10,0,1,2,3,5,6,7,8,9,10,0,1,2,3,5,6,8,9,10,0,1,2,3,5,6,7,8,9,10,0,1,2,3,5,6,7,8,9,10,0,1,2,3,5,6,7,9,10,0,1,2,3,5,6,7,8,9,0,1,2,3,5,6,7,8,10,0,2,3,5,6,7,8,9,10,0,1,2,3,5,6,7,8,9,10,0,1,2,3,6,7,8,9,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  Description,Stream number 0,Stream number 0,Stream number 0,Stream number 0,Stream number 0,Stream number 0,Stream number 0,Stream number 0,Stream number 0,Stream number 0,Stream number 0,Stream number 0,Stream number 0,Stream number 0,Stream number 0,Stream number 0,Stream number 0,Stream number 0,Stream number 0,Stream number 0,Stream number 0,Stream number 0,Stream number 0,Stream number 0,Stream number 0,Stream number 0,Stream number 0,Stream number 0,Stream number 0,Stream number 0,Stream number 0,Stream number 0,Stream number 0,Stream number 0,Stream number 0,Stream number 0,Stream number 0,Stream number 0,Stream number 0,Stream number 0,Stream number 0,Stream number 0,Stream number 0,Stream number 0,Stream number 0,Stream number 0,Stream number 0,Stream number 0,Stream number 0,Stream number 0,Stream number 0,Stream number 0,Stream number 0,Stream number 0,Stream number 0,Stream number 0,Stream number 0,Stream number 0,Stream number 0,Stream number 0,Stream number 0,Stream number 0,Stream number 0,Stream number 0,Stream number 0,Stream number 0,Stream number 0,Stream number 0,Stream number 0,Stream number 0,Stream number 0,Stream number 0,Stream number 0,Stream number 0,Stream number 0,Stream number 0,Stream number 0,Stream number 0,Stream number 0,Stream number 0,Stream number 0,Stream number 0,Stream number 0,Stream number 0,Stream number 0,Stream number 0,Stream number 0,Stream number 0,Stream number 0,Stream number 0,Stream number 0,Stream number 0,Stream number 0,Stream number 0,Stream number 0,Stream number 0,Stream number 0,Stream number 0,Stream number 0,Stream number 0,Stream number 0,Stream number 0,Stream number 0,Stream number 0,Stream number 0,Stream number 0,Stream number 0,Stream number 0,Stream number 0,Stream number 0,Stream number 0,Stream number 0,Stream number 0,Stream number 0,Stream number 0,Stream number 0,Stream number 0,Stream number 0,Stream number 0,Stream number 0,Stream number 0,Stream number 0,Stream number 0,Stream number 0,Stream number 0,Stream number 0,Stream number 0,Stream number 0,Stream number 0,Stream number 0,Stream number 0,Stream number 0,Stream number 0,Stream number 0,Stream number 0,Stream number 0,Stream number 0,Stream number 0,Stream number 0,Stream number 0,Stream number 0,Stream number 0,Stream number 0,Stream number 0,Stream number 0,Stream number 0,Stream number 0,Stream number 0,Stream number 0,Stream number 0,Stream number 0,Stream number 0,Stream number 0,Stream number 0,Stream number 0,Stream number 0,Stream number 0,Stream number 0,Stream number 0,Stream number 0,Stream number 0,Stream number 0,Stream number 0,Stream number 0,Stream number 0,Stream number 0,Stream number 0,Stream number 0,Stream number 0,Stream number 0,Stream number 0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  TxPackets,1008,407025,5662,180,22670,5662,5663,5664,5665,5665,4069428,1008,407025,5662,22670,5662,5663,5664,5665,5665,4069428,1008,5662,22670,5662,5663,5664,5665,5665,4069428,1008,407025,5662,22670,5662,5663,5664,5665,5665,4069428,1008,407025,5662,22670,5662,5663,5664,5665,5665,4069428,1008,407025,22670,5662,5663,5664,5665,5665,4069428,1008,407025,5662,22670,5663,5664,5665,5665,4069428,1008,407025,5662,22670,5662,5663,5664,5665,5665,4069428,1008,407025,5662,22670,5662,5663,5664,5665,5665,4069428,1008,407025,5662,22670,5662,5664,5665,5665,4069428,1008,407025,5662,22670,5662,5663,5664,5665,5665,4069428,1008,407025,5662,22670,5662,5663,5664,5665,5665,4069428,1008,407025,5662,22670,5662,5663,5665,5665,4069428,1008,407025,5662,22670,5662,5663,5664,5665,4069428,1008,407025,5662,22670,5662,5663,5664,5665,4069428,407025,5662,22670,5662,5663,5664,5665,5665,4069428,1008,407025,5662,22670,5662,5663,5664,5665,5665,4069428,1008,407025,5662,5662,5663,5664,5665,5665,,77080084,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RX Totals:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  RxPercent,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  RxBpsL1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  RxBpsL2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  RxPps,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  RxBytes,110880,44772750,4460934,19800,17923583,4460934,4462245,4463396,4463485,4463485,447637080,110880,44772750,4460934,17923583,4460934,4462245,4463396,4463485,4463485,447637080,110880,4460934,17923583,4460934,4462245,4463396,4463485,4463485,447637080,110880,44772750,4460934,17923583,4460934,4462245,4463396,4463485,4463485,447637080,110880,44772750,4460934,17923583,4460934,4462245,4463396,4463485,4463485,447637080,110880,44772750,17923583,4460934,4462245,4463396,4463485,4463485,447637080,110880,44772750,4460934,17923583,4462245,4463396,4463485,4463485,447637080,110880,44772750,4460934,17923583,4460934,4462245,4463396,4463485,4463485,447637080,110880,44772750,4460934,17923583,4460934,4462245,4463396,4463485,4463485,447637080,110880,44772750,4460934,17923583,4460934,4463396,4463485,4463485,447637080,110880,44772750,4460934,17923583,4460934,4462245,4463396,4463485,4463485,447637080,110880,44772750,4460934,17923583,4460934,4462245,4463396,4463485,4463485,447637080,110880,44772750,4296587,17923583,4268111,4295849,4463485,4463485,447637080,110880,44772750,4383943,17923583,4373371,4383657,4463396,4463485,447636860,110880,44772750,4366651,17923583,4348377,4333987,4463396,4463485,447645550,44772200,4245352,17922517,4234545,4273450,4300705,4297451,4340304,447629930,110880,44770110,4245071,17923583,4224602,4272661,4296507,4293182,4341251,447629930,110880,44770110,4245100,4230150,4269924,4299209,4294575,4337589,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  RxPackets,1008,407025,5662,180,22670,5662,5663,5664,5665,5665,4069428,1008,407025,5662,22670,5662,5663,5664,5665,5665,4069428,1008,5662,22670,5662,5663,5664,5665,5665,4069428,1008,407025,5662,22670,5662,5663,5664,5665,5665,4069428,1008,407025,5662,22670,5662,5663,5664,5665,5665,4069428,1008,407025,22670,5662,5663,5664,5665,5665,4069428,1008,407025,5662,22670,5663,5664,5665,5665,4069428,1008,407025,5662,22670,5662,5663,5664,5665,5665,4069428,1008,407025,5662,22670,5662,5663,5664,5665,5665,4069428,1008,407025,5662,22670,5662,5664,5665,5665,4069428,1008,407025,5662,22670,5662,5663,5664,5665,5665,4069428,1008,407025,5662,22670,5662,5663,5664,5665,5665,4069428,1008,407025,5541,22670,5518,5536,5665,5665,4069428,1008,407025,5609,22670,5602,5609,5664,5665,4069426,1008,407025,5596,22670,5584,5575,5664,5665,4069505,407020,5512,22669,5506,5534,5552,5551,5580,4069363,1008,407001,5512,22670,5499,5533,5549,5548,5581,4069363,1008,407001,5512,5503,5531,5551,5549,5578,,77076922,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RX Errors:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  TxRxDiff,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,121,0,144,127,0,0,0,0,0,53,0,60,54,0,0,2,0,0,66,0,78,88,0,0,0,5,150,1,156,129,112,114,85,65,0,24,150,0,163,130,115,117,84,65,0,24,150,159,132,113,116,87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
