  TidValueString;1;2;4;5;6;7;11;0;1;4;6;7;11;0;1;2;4;6;7;11;0;1;2;4;6;7;11;0;1;2;4;6;7;11;0;2;4;6;7;11;0;1;2;4;7;11;0;1;2;4;6;7;11;0;1;2;4;6;7;11;0;1;2;4;6;11;0;1;2;4;6;7;11;0;1;2;4;6;7;11;0;1;2;4;6;7;0;1;2;6;7;11;0;1;2;4;6;7;11
  Description;Stream number 0;Stream number 0;Stream number 0;Stream number 1;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0
TX Totals:
  TxPackets;9139;657057;36564;232;9139;9140;1624;6569772;9139;36564;9139;9140;1624;6569772;9139;657057;36564;9139;9140;1624;6569772;9139;657057;36564;9139;9140;1624;6569772;9139;657057;36564;9139;9140;1624;6569772;657057;36564;9139;9140;1624;6569772;9139;657057;36564;9140;1624;6569772;9139;657057;36564;9139;9140;1624;6569772;9139;657057;36564;9139;9140;1624;6569772;9139;657057;36564;9139;1624;6569772;9139;657057;36564;9139;9140;1624;6569772;9139;657057;36564;9139;9140;1624;6569772;9139;657057;36564;9139;9140;6569772;9139;657057;9139;9140;1624;6569772;9139;657057;36564;9139;9140;1624
RX Totals:
  RxPercent;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
  RxBpsL1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
  RxBpsL2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
  RxPps;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
  RxBytes;7224696;72276270;28979818;25520;7224696;7224912;178640;722674920;7224696;28979818;7224696;7224912;178640;722674920;7224696;72276270;28979818;7224696;7224912;178640;722674920;7224696;72276270;28979818;7224696;7224912;178640;722674920;7224696;72276270;28979818;7224696;7224912;178640;722674920;72276270;28979818;7224696;7224912;178640;722674920;7224696;72276270;28979818;7224912;178640;722674920;7224696;72276270;28979818;7224696;7224912;178640;722674920;7224696;72276270;28979818;7224696;7224912;178640;722674920;7224696;72276270;28979818;7224696;178640;722674920;7224696;72276270;28979818;7224696;7224912;178640;722674920;7224696;72276270;28979818;7224696;7224912;178640;722674920;7224696;72276270;28979818;7224696;7224912;722674920;7224696;72276270;7224696;7224912;178640;722674920;7224696;72276270;28979818;7224696;7224912;178640
  RxPackets;9139;657057;36564;232;9139;9140;1624;6569772;9139;36564;9139;9140;1624;6569772;9139;657057;36564;9139;9140;1624;6569772;9139;657057;36564;9139;9140;1624;6569772;9139;657057;36564;9139;9140;1624;6569772;657057;36564;9139;9140;1624;6569772;9139;657057;36564;9140;1624;6569772;9139;657057;36564;9139;9140;1624;6569772;9139;657057;36564;9139;9140;1624;6569772;9139;657057;36564;9139;1624;6569772;9139;657057;36564;9139;9140;1624;6569772;9139;657057;36564;9139;9140;1624;6569772;9139;657057;36564;9139;9140;6569772;9139;657057;9139;9140;1624;6569772;9139;657057;36564;9139;9140;1624
RX Errors:
  TxRxDiff;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
  LostPackets;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
  MisorderPackets;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
  PayloadErrors;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
  BitErrorRate;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
RX Latency:
  AggrMinLatency;2086;2559;8917;10296;4940;7145;10489;2559;2118;9054;4956;7169;10609;2583;2118;2607;9110;4980;7193;10681;2559;2070;2583;9110;4932;7193;10657;2583;2094;2559;9038;4956;7145;10681;2559;2583;9102;4956;7145;10753;4507;3681;4507;6271;4475;7578;4531;3681;4459;6271;2238;4499;7578;4531;3706;4483;6295;2262;4491;7602;6961;5991;6985;4179;4427;5101;7009;5991;6985;4130;4427;2262;5101;7009;5991;7009;4130;4451;2270;5149;9639;8308;9639;2118;6913;4555;9615;8284;9591;6768;4531;2679;9663;8308;9663;2102;6817;4555;2727
  AggrAvgLatency;2720;2842;11233;10658;6108;8789;11790;3145;3467;11995;6874;9567;13370;3223;3536;3123;12060;6939;9632;13613;3226;3540;3116;12043;6922;9611;13580;3243;3561;3132;12062;6939;9631;13612;3220;3136;12073;6957;9647;13589;5367;5697;5238;8627;6227;10364;5373;5699;5223;8610;3462;6200;10368;5393;5749;5246;8761;3641;6344;10422;8049;8440;7869;5996;6289;7555;8068;8458;7870;6011;6306;3562;7568;8082;8478;7876;5993;6325;3534;7588;10880;11291;10654;3263;9137;6405;10830;11248;10578;9095;6380;5096;10897;11344;10650;3410;9188;6455;5158
  AggrMaxLatency;13760;15091;24023;20616;18186;20062;15492;15717;19694;31240;26284;23558;24464;18579;19718;18242;34535;26308;24400;27664;18579;19694;18218;34511;26284;24400;27736;18579;19742;18242;34511;26333;24424;27760;18603;18242;31272;26333;24424;27567;28032;24881;27672;31937;20840;24464;27984;24881;27648;31841;21650;20319;24464;28032;24905;27672;31961;21674;20768;24512;30654;27648;30318;30398;21858;18571;30654;27648;30318;30422;21786;17833;18571;30654;27672;30318;30422;21810;17857;18619;33621;29756;33284;22155;27367;26613;26693;26172;26333;22764;20295;16005;33621;29828;33284;27688;27391;26661;15957
  AggrLatencyRange;11674;12532;15106;10320;13246;12917;5003;13158;17576;22186;21328;16389;13855;15996;17600;15635;25425;21328;17207;16983;16020;17624;15635;25401;21352;17207;17079;15996;17648;15683;25473;21377;17279;17079;16044;15659;22170;21377;17279;16814;23525;21200;23165;25666;16365;16886;23453;21200;23189;25570;19412;15820;16886;23501;21199;23189;25666;19412;16277;16910;23693;21657;23333;26219;17431;13470;23645;21657;23333;26292;17359;15571;13470;23645;21681;23309;26292;17359;15587;13470;23982;21448;23645;20037;20454;22058;17078;17888;16742;15996;15764;13326;23958;21520;23621;25586;20574;22106;13230
  CurrMinLatency;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A
  CurrAvgLatency;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A
  CurrMaxLatency;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A
  CurrLatencyRange;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A
RX Jitter:
  AggrMinJitter;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
  AggrAvgJitter;0;0;0;0;0;0;0;2;0;0;0;0;0;2;0;1;0;0;0;0;2;0;1;0;0;0;0;2;0;1;0;0;0;0;2;1;0;0;0;0;2;0;1;0;0;0;2;0;1;0;0;0;0;2;0;1;0;0;0;0;2;0;1;0;0;0;2;0;1;0;0;0;0;2;0;1;0;0;0;0;3;0;1;0;0;0;3;0;1;0;0;0;3;0;1;0;0;0;0
  AggrMaxJitter;11137;12339;12764;10102;12155;7617;4546;12941;15996;19908;20221;14777;13662;15899;15996;15322;23180;20197;15547;16813;15803;15931;15322;23180;20197;15571;16813;15779;15931;15635;23156;20221;15571;16813;15803;15515;19916;20125;15547;16693;23212;19868;22803;23974;15394;16717;23164;19868;22755;23773;18818;14961;16741;23164;19868;22779;23877;18818;15154;16549;23284;19828;22899;25176;16308;13350;23260;19780;22899;25200;16236;14945;13253;23260;19732;22875;25200;16236;14945;13302;23356;19491;23164;19483;19211;20871;16332;16757;16332;14464;14729;13157;23332;19443;23164;24952;19235;20919;13109
  AggrJitterRange;11137;12339;12764;10102;12155;7617;4546;12941;15996;19908;20221;14777;13662;15899;15996;15322;23180;20197;15547;16813;15803;15931;15322;23180;20197;15571;16813;15779;15931;15635;23156;20221;15571;16813;15803;15515;19916;20125;15547;16693;23212;19868;22803;23974;15394;16717;23164;19868;22755;23773;18818;14961;16741;23164;19868;22779;23877;18818;15154;16549;23284;19828;22899;25176;16308;13350;23260;19780;22899;25200;16236;14945;13253;23260;19732;22875;25200;16236;14945;13302;23356;19491;23164;19483;19211;20871;16332;16757;16332;14464;14729;13157;23332;19443;23164;24952;19235;20919;13109
  CurrMinJitter;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
  CurrAvgJitter;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
  CurrMaxJitter;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
  CurrJitterRange;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
