Global Stream Statistics Counters:
ID:
  TxPortName;Port 0/2/0;Port 0/0/1;Port 0/4/4;Port 0/4/5;Port 0/4/3;Port 0/0/0;Port 0/2/0;Port 0/4/4;Port 0/4/3;Port 0/0/0;Port 0/2/0;Port 0/0/1;Port 0/4/4;Port 0/4/3;Port 0/0/0;Port 0/2/0;Port 0/0/1;Port 0/4/4;Port 0/4/3;Port 0/0/0;Port 0/2/0;Port 0/0/1;Port 0/4/4;Port 0/4/3;Port 0/0/0;Port 0/2/0;Port 0/0/1;Port 0/4/4;Port 0/4/3;Port 0/0/0;Port 0/0/1;Port 0/4/4;Port 0/4/3;Port 0/0/0;Port 0/2/0;Port 0/0/1;Port 0/4/4;Port 0/4/3;Port 0/0/0;Port 0/2/0;Port 0/0/1;Port 0/4/4;Port 0/4/3;Port 0/0/0;Port 0/2/0;Port 0/0/1;Port 0/4/4;Port 0/4/3;Port 0/0/0;Port 0/2/0;Port 0/0/1;Port 0/4/4;Port 0/4/3;Port 0/0/0;Port 0/2/0;Port 0/0/1;Port 0/4/4;Port 0/4/3;Port 0/0/0;Port 0/2/0;Port 0/0/1;Port 0/4/4;Port 0/4/3;Port 0/0/0;Port 0/2/0;Port 0/0/1;Port 0/4/4;Port 0/4/3;Port 0/0/0;Port 0/2/0;Port 0/0/1;Port 0/4/4;Port 0/4/3;Port 0/0/0;Port 0/2/0;Port 0/0/1;Port 0/4/4;Port 0/0/0;Port 0/2/0;Port 0/0/1;Port 0/4/3;Port 0/0/0;Port 0/2/0;Port 0/0/1;Port 0/4/4;Port 0/4/3
  TxPackets;7374;106002;7381;38;266;1059311;7374;7381;266;1059311;7374;106002;7381;266;1059311;7374;106002;7381;266;1059311;7374;106002;7381;266;1059311;7374;106002;7381;266;1059311;106002;7381;266;1059311;7374;106002;7381;266;1059311;7374;106002;7381;266;1059311;7374;106002;7381;266;1059311;7374;106002;7381;266;1059311;7374;106002;7381;266;1059311;7374;106002;7381;266;1059311;7374;106002;7381;266;1059311;7374;106002;7381;266;1059311;7374;106002;7381;1059311;7374;106002;266;1059311;7374;106002;7381;266
RX Totals:
  RxPercent;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
  RxBpsL1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
  RxBpsL2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
  RxPps;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
  RxBytes;5822131;8111070;5826019;4180;29260;80978040;5822131;5826019;29260;80978040;5822131;8111070;5826019;29260;116524210;5822131;11660220;5826019;29260;116524210;5822131;11660220;5826019;29260;1984835600;19363206;198519750;71138355;491260;116524210;11660220;5826019;29260;116524210;5822131;11660220;5826019;29260;116524210;5822131;11660220;5826019;29260;116524210;5822131;11660220;5826019;29260;80978040;5822131;8111070;5826019;21560;80978040;5822131;8111070;5826019;21560;116524210;5819585;11660220;5826019;29260;116524210;5822131;11660220;5826019;29260;116524210;5818058;11660220;5826019;29260;116524210;5816638;11660220;5826019;116524210;5820794;11660220;29260;116524210;5819883;11660220;5826019;29260
  RxPackets;7374;73737;7381;38;266;736164;7374;7381;266;736164;7374;73737;7381;266;1059311;7374;106002;7381;266;1059311;7374;106002;7381;266;18043960;24503;1804725;89955;4466;1059311;106002;7381;266;1059311;7374;106002;7381;266;1059311;7374;106002;7381;266;1059311;7374;106002;7381;266;736164;7374;73737;7381;196;736164;7374;73737;7381;196;1059311;7372;106002;7381;266;1059311;7374;106002;7381;266;1059311;7371;106002;7381;266;1059311;7369;106002;7381;1059311;7373;106002;266;1059311;7372;106002;7381;266
RX Errors:
  TxRxDiff;0;32265;0;0;0;323147;0;0;0;323147;0;32265;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;323147;0;32265;0;70;323147;0;32265;0;70;0;2;0;0;0;0;0;0;0;0;0;3;0;0;0;0;5;0;0;0;1;0;0;0;2;0;0;0
  LostPackets;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;3;0;0;0;0;5;0;0;0;1;0;0;0;2;0;0;0
  MisorderPackets;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
  PayloadErrors;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
  BitErrorRate;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4,29583896446224E-08;0;0;0;0;0;0;0;0;0;6,44544966722573E-08;0;0;0;0;1,07450386288437E-07;0;0;0;2,14747335157369E-08;0;0;0;4,29561900127546E-08;0;0;0
RX Latency:
  AggrMinLatency;4956;2559;13752;15372;15685;2583;4956;13704;15781;2607;5004;2607;13800;15781;2583;5004;2607;13776;15781;2583;5028;2559;13560;15805;2559;5012;2583;13488;15733;4507;4507;10962;12702;4531;2254;4459;10938;12702;4555;2262;4531;10962;12726;6961;4499;6985;8789;10272;7033;4507;6985;8789;5149;7033;4531;7009;8749;5149;9735;6809;9663;6704;7803;9735;6809;9615;6696;7803;12213;9174;12237;4427;5253;14738;11186;14690;2198;14762;11162;14666;2703;14762;11210;14738;2238;2727
  AggrAvgLatency;6083;2833;16663;15592;17071;3149;6895;17380;18665;3228;6973;3113;17455;18870;3253;6964;3222;17439;18857;3271;6976;3238;17460;18817;3214;9751;3133;17504;18821;5376;5325;14075;15819;5405;3474;5341;14044;15825;5421;3633;5361;14193;15842;8085;6283;7990;11404;13265;8075;6301;7865;11410;7294;8088;6321;7871;11396;7312;10911;9161;10771;8819;10667;10910;9155;10758;8805;10652;13620;11882;13410;6107;7658;16306;14591;16050;3395;16259;14569;15989;5004;16329;14599;16042;3348;5048
  AggrMaxLatency;9495;14730;19950;15901;20207;15693;18403;29195;29852;19036;21225;18555;32106;33076;17930;21297;16799;32082;33052;17906;21345;16775;32106;33052;18531;26653;19325;36756;33052;20816;19613;27591;26581;20046;18234;19180;27247;26581;20094;18290;19204;28353;26605;23438;20976;22259;24528;23887;28465;20976;23029;23518;18403;28465;21001;23053;23518;18403;25370;23655;25298;23646;21297;25346;23655;25298;23622;21345;28185;26325;27271;19253;18651;30927;29187;30109;17617;30927;29163;30181;19084;30975;29211;30133;17304;19132
  AggrLatencyRange;4539;12171;6198;529;4522;13110;13447;15491;14071;16429;16221;15948;18306;17295;15347;16293;14192;18306;17271;15323;16317;14216;18546;17247;15972;21641;16742;23268;17319;16309;15106;16629;13879;15515;15980;14721;16309;13879;15539;16028;14673;17391;13879;16477;16477;15274;15739;13615;21432;16469;16044;14729;13254;21432;16470;16044;14769;13254;15635;16846;15635;16942;13494;15611;16846;15683;16926;13542;15972;17151;15034;14826;13398;16189;18001;15419;15419;16165;18001;15515;16381;16213;18001;15395;15066;16405
  CurrMinLatency;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A
  CurrAvgLatency;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A
  CurrMaxLatency;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A
  CurrLatencyRange;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A
RX Jitter:
  AggrMinJitter;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
  AggrAvgJitter;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
  AggrMaxJitter;3568;11979;4393;505;3872;13037;12468;14512;14047;16332;15330;15707;15314;17246;15057;15402;13951;15290;17222;15298;15402;13927;15338;17222;15683;15234;16597;19973;17222;16068;14600;15571;13710;15057;15450;14504;13951;13686;15009;15474;14504;15274;13734;16020;15378;14793;13710;13446;20879;15378;15683;12877;13061;20855;15402;15707;12836;13037;15178;15186;15226;15410;13398;15202;15186;15226;15386;13422;15418;15210;14216;13903;13398;15490;15162;14528;14993;15515;15162;14576;16236;15539;15162;14600;14624;16236
  AggrJitterRange;3568;11979;4393;505;3872;13037;12468;14512;14047;16332;15330;15707;15314;17246;15057;15402;13951;15290;17222;15298;15402;13927;15338;17222;15683;15234;16597;19973;17222;16068;14600;15571;13710;15057;15450;14504;13951;13686;15009;15474;14504;15274;13734;16020;15378;14793;13710;13446;20879;15378;15683;12877;13061;20855;15402;15707;12836;13037;15178;15186;15226;15410;13398;15202;15186;15226;15386;13422;15418;15210;14216;13903;13398;15490;15162;14528;14993;15515;15162;14576;16236;15539;15162;14600;14624;16236
  CurrMinJitter;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
  CurrAvgJitter;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
  CurrMaxJitter;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
  CurrJitterRange;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
