  TidValueString;1;2;4;5;6;7;10;11;0;1;4;6;7;10;11;0;1;2;4;6;7;10;11;0;1;2;4;6;7;10;11;0;1;2;4;6;7;10;11;0;2;4;6;7;10;11;0;1;2;4;7;10;11;0;1;2;4;6;7;10;11;0;1;2;4;6;7;10;11;0;1;2;4;6;10;11;0;1;2;4;6;7;10;11;0;1;2;4;6;7;10;11;0;1;2;4;6;7;11;0;1;2;4;6;7;10;0;1;2;6;7;10;11;0;1;2;4;6;7;10;11
  Description;Stream number 0;Stream number 0;Stream number 0;Stream number 1;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0
TX Totals:
  TxPackets;6170;443565;24688;158;6170;6171;6171;1106;4434859;6170;24688;6170;6171;6171;1106;4434859;6170;443565;24688;6170;6171;6171;1106;4434859;6170;443565;24688;6170;6171;6171;1106;4434859;6170;443565;24688;6170;6171;6171;1106;4434859;443565;24688;6170;6171;6171;1106;4434859;6170;443565;24688;6171;6171;1106;4434859;6170;443565;24688;6170;6171;6171;1106;4434859;6170;443565;24688;6170;6171;6171;1106;4434859;6170;443565;24688;6170;6171;1106;4434859;6170;443565;24688;6170;6171;6171;1106;4434859;6170;443565;24688;6170;6171;6171;1106;4434859;6170;443565;24688;6170;6171;1106;4434859;6170;443565;24688;6170;6171;6171;4434859;6170;443565;6170;6171;6171;1106;4434859;6170;443565;24688;6170;6171;6171;1106
RX Totals:
  RxPercent;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
  RxBpsL1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
  RxBpsL2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
  RxPps;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
  RxBytes;4852053;48792150;19530501;17380;4852053;4852853;4809706;121660;487834490;4852053;19530501;4852053;4852853;4809706;121660;487834490;4852053;48792150;19530501;4852053;4852853;4809706;121660;487834490;4852053;48792150;19530501;4852053;4852853;4809706;121660;487834490;4852053;48792150;19530501;4852053;4852853;4809706;121660;487834490;48792150;19530501;4852053;4852853;4809706;121660;487834490;4852053;48792150;19530501;4852853;4809706;121660;487834490;4852053;48792150;19530501;4852053;4852853;4809706;121660;487834490;4852053;48792150;19530501;4852053;4852853;4809706;121660;487834490;4852053;48792150;19530501;4852053;4809706;121660;487834490;4852053;48792150;19530501;4852053;4852853;4809706;121660;487834490;4852053;48792150;19530501;4852053;4852853;4809706;121660;487834490;4852053;48792150;19530501;4852053;4852853;121660;487834490;4852053;48792150;19530501;4852053;4852853;4837238;487834490;4852053;48792150;4852053;4852853;4841567;121660;487834490;4852053;48792150;19530501;4852053;4852853;4829236;121660
  RxPackets;6170;443565;24688;158;6170;6171;6137;1106;4434859;6170;24688;6170;6171;6137;1106;4434859;6170;443565;24688;6170;6171;6137;1106;4434859;6170;443565;24688;6170;6171;6137;1106;4434859;6170;443565;24688;6170;6171;6137;1106;4434859;443565;24688;6170;6171;6137;1106;4434859;6170;443565;24688;6171;6137;1106;4434859;6170;443565;24688;6170;6171;6137;1106;4434859;6170;443565;24688;6170;6171;6137;1106;4434859;6170;443565;24688;6170;6137;1106;4434859;6170;443565;24688;6170;6171;6137;1106;4434859;6170;443565;24688;6170;6171;6137;1106;4434859;6170;443565;24688;6170;6171;1106;4434859;6170;443565;24688;6170;6171;6159;4434859;6170;443565;6170;6171;6163;1106;4434859;6170;443565;24688;6170;6171;6153;1106
RX Errors:
  TxRxDiff;0;0;0;0;0;0;34;0;0;0;0;0;0;34;0;0;0;0;0;0;0;34;0;0;0;0;0;0;0;34;0;0;0;0;0;0;0;34;0;0;0;0;0;0;34;0;0;0;0;0;0;34;0;0;0;0;0;0;0;34;0;0;0;0;0;0;0;34;0;0;0;0;0;0;34;0;0;0;0;0;0;0;34;0;0;0;0;0;0;0;34;0;0;0;0;0;0;0;0;0;0;0;0;0;0;12;0;0;0;0;0;8;0;0;0;0;0;0;0;18;0
