  TidValueString;2;4;5;11;0;2;4;11;0;4;11;0;2;4;11;0;2;4;11;0;2;4;11;0;2;4;11;0;2;4;11;0;2;4;11;0;2;4;11;0;2;4;11;0;2;4;11;0;2;4;11;0;2;4;11;0;2;4;11;0;2;4;0;2;11;0;2;4;11
  Description;Stream number 0;Stream number 0;Stream number 1;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0
TX Totals:
  RxPercent;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
  RxBpsL1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
  RxBpsL2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
  RxPps;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
  RxBytes;173838390;173945497;61380;429660;1738308990;173838390;173945497;429660;1738308990;173945497;429660;1738308990;173838390;173945497;429660;1738308990;173838390;173945497;429660;1738308990;173838390;173945497;429660;1738308990;173838390;173945497;429660;1738308990;173838390;173945497;429660;1738308990;173838390;173945497;429660;1738308990;173838390;173945497;429660;1738308990;173838390;173945497;429660;1738308990;173838390;173945497;429660;1738308990;173838390;173945497;429660;1738308990;173838390;173945497;429660;1738308990;173838390;173945497;429660;1738308990;173838390;173945497;1738308990;173838390;429660;1738308990;173838390;173945497;429660
  RxPackets;1580349;219783;558;3906;15802809;1580349;219783;3906;15802809;219783;3906;15802809;1580349;219783;3906;15802809;1580349;219783;3906;15802809;1580349;219783;3906;15802809;1580349;219783;3906;15802809;1580349;219783;3906;15802809;1580349;219783;3906;15802809;1580349;219783;3906;15802809;1580349;219783;3906;15802809;1580349;219783;3906;15802809;1580349;219783;3906;15802809;1580349;219783;3906;15802809;1580349;219783;3906;15802809;1580349;219783;15802809;1580349;3906;15802809;1580349;219783;3906
RX Errors:
  TxRxDiff;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
  LostPackets;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
  MisorderPackets;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
