  TidValueString;0;19;20;17;18;20;17;18;19;20;17;18;19;17;18;19;20;17;18;19;20;17;18;19;20;17;18;19;20;17;18;19;20;17;18;19;20;17;18;19;20;17;18;19;20;17;18;19;20;17;18;19;20
  Description;Stream number 1;Stream number 0;Stream number 0;Stream number 0;Stream number 1;Stream number 0;Stream number 0;Stream number 1;Stream number 0;Stream number 0;Stream number 0;Stream number 1;Stream number 0;Stream number 0;Stream number 1;Stream number 0;Stream number 0;Stream number 0;Stream number 1;Stream number 0;Stream number 0;Stream number 0;Stream number 1;Stream number 0;Stream number 0;Stream number 0;Stream number 1;Stream number 0;Stream number 0;Stream number 0;Stream number 1;Stream number 0;Stream number 0;Stream number 0;Stream number 1;Stream number 0;Stream number 0;Stream number 0;Stream number 1;Stream number 0;Stream number 0;Stream number 0;Stream number 1;Stream number 0;Stream number 0;Stream number 0;Stream number 1;Stream number 0;Stream number 0;Stream number 0;Stream number 1;Stream number 0;Stream number 0
  RxBytes;25084730;175593110;71265255186;712629934500;71264019530;71265255186;712629934500;71264019530;175593110;71265255186;712629934500;71264019530;175593110;712629934500;71264019530;175593110;71265255186;712629934500;71264019530;175593110;71265255186;712629934500;71264019530;175593110;71265255186;712629934500;71264019530;175593110;71265255186;712629934500;71264019530;175593110;71265255186;712629934500;71264019530;175593110;71265255186;712629934500;71264019530;175593110;71265255186;712629934500;71264019530;175593110;71265255186;712629934500;71264019530;175593110;71265255186;712629934500;71264019530;175593110;71265255186
  RxPackets;228043;1596301;90092387;6478453950;647854723;90092387;6478453950;647854723;1596301;90092387;6478453950;647854723;1596301;6478453950;647854723;1596301;90092387;6478453950;647854723;1596301;90092387;6478453950;647854723;1596301;90092387;6478453950;647854723;1596301;90092387;6478453950;647854723;1596301;90092387;6478453950;647854723;1596301;90092387;6478453950;647854723;1596301;90092387;6478453950;647854723;1596301;90092387;6478453950;647854723;1596301;90092387;6478453950;647854723;1596301;90092387
RX Errors:
  TxRxDiff;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
  LostPackets;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
  MisorderPackets;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
  PayloadErrors;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
  BitErrorRate;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
RX Latency:
  AggrMinLatency;2631;2559;2190;2559;2559;2190;2559;2583;2583;2214;2559;2559;2559;2559;2559;2583;2190;2559;2559;2583;2230;3850;3850;3874;3168;3826;3850;3826;3144;3874;3874;3898;3192;3850;3874;3850;3144;6327;6327;6376;5213;6327;6376;6376;5189;6351;6472;6376;5309;6376;6472;6448;5285
