  TidValueString,1,2,3,6,7,8,11,0,1,2,6,7,8,11,0,1,6,7,8,11,0,1,2,6,7,11,0,1,2,6,7,0,2,4,6,7,8,10,11,14,0,1,2,7,11,0,1,2,6,7,11,0,1,2,6,7,11,0,1,2,6,11,0,1,2,5,6,7,9,11,12,13,0,1,2,5,6,7,9,11,12,13,0,1,2,5,6,7,9,11,12,13,0,1,2,5,6,7,9,11,12,13,0,1,2,5,6,7,12,13,0,1,2,5,6,7,9,12,0,1,2,6,7,9,12,13,0,1,2,5,6,9,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  Description,Stream number 0,Stream number 0,Stream number 1,Stream number 0,Stream number 0,Stream number 0,Stream number 0,Stream number 0,Stream number 0,Stream number 0,Stream number 0,Stream number 0,Stream number 0,Stream number 0,Stream number 0,Stream number 0,Stream number 0,Stream number 0,Stream number 0,Stream number 0,Stream number 0,Stream number 0,Stream number 0,Stream number 0,Stream number 0,Stream number 0,Stream number 0,Stream number 0,Stream number 0,Stream number 0,Stream number 0,Stream number 0,Stream number 0,Stream number 0,Stream number 0,Stream number 0,Stream number 0,Stream number 0,Stream number 0,Stream number 0,Stream number 0,Stream number 0,Stream number 0,Stream number 0,Stream number 0,Stream number 0,Stream number 0,Stream number 0,Stream number 0,Stream number 0,Stream number 0,Stream number 0,Stream number 0,Stream number 0,Stream number 0,Stream number 0,Stream number 0,Stream number 0,Stream number 0,Stream number 0,Stream number 0,Stream number 0,Stream number 0,Stream number 0,Stream number 0,Stream number 0,Stream number 0,Stream number 0,Stream number 1,Stream number 0,Stream number 1,Stream number 0,Stream number 0,Stream number 0,Stream number 0,Stream number 0,Stream number 0,Stream number 0,Stream number 1,Stream number 0,Stream number 1,Stream number 0,Stream number 0,Stream number 0,Stream number 0,Stream number 0,Stream number 0,Stream number 0,Stream number 1,Stream number 0,Stream number 1,Stream number 0,Stream number 0,Stream number 0,Stream number 0,Stream number 0,Stream number 0,Stream number 0,Stream number 1,Stream number 0,Stream number 1,Stream number 0,Stream number 0,Stream number 0,Stream number 0,Stream number 0,Stream number 0,Stream number 0,Stream number 1,Stream number 0,Stream number 0,Stream number 0,Stream number 0,Stream number 0,Stream number 0,Stream number 0,Stream number 1,Stream number 1,Stream number 0,Stream number 0,Stream number 0,Stream number 0,Stream number 0,Stream number 1,Stream number 1,Stream number 0,Stream number 0,Stream number 0,Stream number 0,Stream number 0,Stream number 0,Stream number 1,Stream number 0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  TxPackets,961154405,34557868926,15205464,480577383,480577384,961153899,85150590,345578688576,961154405,34557868926,480577383,480577384,961153899,85150590,345578688576,961154405,480577383,480577384,961153899,85150590,345578688576,961154405,34557868926,480577383,480577384,85150590,345578688576,961154405,34557868926,480577383,480577384,345578688576,34557868926,961153350,480577383,480577384,961153899,480576953,85150590,480577604,345578688576,961154405,34557868926,480577384,85150590,345578688576,961154405,34557868926,480577383,480577384,85150590,345578688576,961154405,34557868926,480577383,480577384,85150590,345578688576,961154405,34557868926,480577383,85150590,345578688576,961154405,34557868926,552925618,480577383,480577384,552923853,85150590,552929740,552925618,345578688576,961154405,34557868926,552925618,480577383,480577384,552923853,85150590,552929740,552925618,345578688576,961154405,34557868926,552925618,480577383,480577384,552923853,85150590,552929740,552925618,345578688576,961154405,34557868926,552925618,480577383,480577384,552923853,85150590,552929740,552925618,345578688576,961154405,34557868926,552925618,480577383,480577384,552929740,552925618,345578688576,961154405,34557868926,552925618,480577383,480577384,552923853,552929740,345578688576,961154405,34557868926,480577383,480577384,552923853,552929740,552925618,345578688576,961154405,34557868926,552925618,480577383,552923853,552925618,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RX Totals:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  RxPercent,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  RxBpsL1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  RxBpsL2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  RxPps,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  RxBytes,760265891556,3801365581860,1672601040,1918,1429,1429,9366564900,38013655743360,760265891556,3801365581860,1918,1429,1429,9366564900,38013655743360,760265891556,1918,1429,1429,9366564900,38013655709260,759858292824,3801365564700,1429,1429,9366564900,38013651838030,759733900131,3801365168040,1429,1429,38013655743360,3801365581860,760259741290,380127272618,380127273974,760265505150,380126930254,9366564900,380136459223,38013655743360,760232207352,3801365581860,1429,9366564900,38013655733350,760153387014,3801365579550,1429,1429,9366564900,38013655738630,760205974245,3801365581090,1429,1429,9366564900,38013655778230,760223721769,3801365583510,1429,9366564900,38013655724660,759996947602,3801365570090,60821817980,1429,1429,60821623830,9366564460,60822270960,60821817980,38013655657230,759997637358,3801365556450,60821817980,1429,1429,60821623610,9366563690,60822271180,60821817430,38013655547010,759994458970,3801365524110,60821817540,1429,1429,60821623500,9366561380,60822270960,60821817650,38013655161350,759935581538,3801365408940,60821817320,1429,1429,60821622620,9366560940,60822270740,60821817540,38013654826510,759833107219,3801365306420,60821817100,1429,1429,60822269090,60821816110,38013654857200,759945415944,3801365317530,60821817320,1429,1429,60821622510,60822269530,38013655040130,759873454446,3801365354490,1429,1429,60821623610,60822270080,60821816110,38013655041890,759793305243,3801365358560,60821817540,1429,60821622070,60821816330,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  RxPackets,961154405,34557868926,15205464,2,1,1,85150590,345578688576,961154405,34557868926,2,1,1,85150590,345578688576,961154405,2,1,1,85150590,345578688266,960832747,34557868770,1,1,85150590,345578653073,960729259,34557865164,1,1,345578688576,34557868926,961153350,480577383,480577384,961153899,480576953,85150590,480577604,345578688576,961128450,34557868926,1,85150590,345578688485,961068108,34557868905,1,1,85150590,345578688533,961108440,34557868919,1,1,85150590,345578688893,961122367,34557868941,1,85150590,345578688406,960947174,34557868819,552925618,1,1,552923853,85150586,552929736,552925618,345578687793,960947749,34557868695,552925618,1,1,552923851,85150579,552929738,552925613,345578686791,960945608,34557868401,552925614,1,1,552923850,85150558,552929736,552925615,345578683285,960898972,34557867354,552925612,1,1,552923842,85150554,552929734,552925614,345578680241,960822374,34557866422,552925610,1,1,552929719,552925601,345578680520,960907562,34557866523,552925612,1,1,552923841,552929723,345578682183,960848131,34557866859,1,1,552923851,552929728,552925601,345578682199,960785063,34557866896,552925614,1,552923837,552925603,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RX Errors:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  TxRxDiff,0,0,0,480577381,480577383,961153898,0,0,0,0,480577381,480577383,961153898,0,0,0,480577381,480577383,961153898,0,310,321658,156,480577382,480577383,0,35503,425146,3762,480577382,480577383,0,0,0,0,0,0,0,0,0,0,25955,0,480577383,0,91,86297,21,480577382,480577383,0,43,45965,7,480577382,480577383,0,0,32038,0,480577382,0,170,207231,107,0,480577382,480577383,0,4,4,0,783,206656,231,0,480577382,480577383,2,11,2,5,1785,208797,525,4,480577382,480577383,3,32,4,3,5291,255433,1572,6,480577382,480577383,11,36,6,4,8335,332031,2504,8,480577382,480577383,21,17,8056,246843,2403,6,480577382,480577383,12,17,6393,306274,2067,480577382,480577383,2,12,17,6377,369342,2030,4,480577382,16,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
