  TidValueString;3;4;5;0;1;3;4;0;1;3;4;0;1;3;4;0;1;3;4;0;1;3;4;0;1;3;4;0;1;3;4;0;1;3;4;0;1;3;4;0;1;3;4;0;1;3;4;0;1;3;4;0;1;3;4;0;1;3;4;0;1;3;4;0;1;3;0;1;4
  Description;Stream number 0;Stream number 0;Stream number 1;Stream number 0;Stream number 1;Stream number 0;Stream number 0;Stream number 0;Stream number 1;Stream number 0;Stream number 0;Stream number 0;Stream number 1;Stream number 0;Stream number 0;Stream number 0;Stream number 1;Stream number 0;Stream number 0;Stream number 0;Stream number 1;Stream number 0;Stream number 0;Stream number 0;Stream number 1;Stream number 0;Stream number 0;Stream number 0;Stream number 1;Stream number 0;Stream number 0;Stream number 0;Stream number 1;Stream number 0;Stream number 0;Stream number 0;Stream number 1;Stream number 0;Stream number 0;Stream number 0;Stream number 1;Stream number 0;Stream number 0;Stream number 0;Stream number 1;Stream number 0;Stream number 0;Stream number 0;Stream number 1;Stream number 0;Stream number 0;Stream number 0;Stream number 1;Stream number 0;Stream number 0;Stream number 0;Stream number 1;Stream number 0;Stream number 0;Stream number 0;Stream number 1;Stream number 0;Stream number 0;Stream number 0;Stream number 1;Stream number 0;Stream number 0;Stream number 1;Stream number 0
TX Totals:
  TxPackets;2017764;113878792;288252;8188918770;818903667;2017764;113878792;8188918770;818903667;2017764;113878792;8188918770;818903667;2017764;113878792;8188918770;818903667;2017764;113878792;8188918770;818903667;2017764;113878792;8188918770;818903667;2017764;113878792;8188918770;818903667;2017764;113878792;8188918770;818903667;2017764;113878792;8188918770;818903667;2017764;113878792;8188918770;818903667;2017764;113878792;8188918770;818903667;2017764;113878792;8188918770;818903667;2017764;113878792;8188918770;818903667;2017764;113878792;8188918770;818903667;2017764;113878792;8188918770;818903667;2017764;113878792;8188918770;818903667;2017764;8188918770;818903667;113878792
RX Totals:
  RxPercent;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
  RxBpsL1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
  RxBpsL2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
  RxPps;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
  RxBytes;221954040;90081439401;31707720;900781064700;90079403370;221954040;90081439401;900781064700;90079403370;221954040;90081439401;900781064700;90079403370;221954040;90081439401;900781064700;90079403370;221954040;90081439401;900781064700;90079403370;221954040;90081439401;900781064700;90079403370;221954040;90081439401;900781064700;90079403370;221954040;90081439401;900781064700;90079403370;221954040;90081439401;900781064700;90079403370;221954040;90081439401;900781064700;90079403370;221954040;90081439401;900781064700;90079403370;221954040;90081439401;900781064700;90079403370;221954040;90081439401;900781064700;90079403370;221954040;90081439401;900781064700;90079403370;221954040;90081439401;900781064700;90079403370;221954040;90081439401;900781064700;90079403370;221954040;900781064700;90079403370;90081439401
  RxPackets;2017764;113878792;288252;8188918770;818903667;2017764;113878792;8188918770;818903667;2017764;113878792;8188918770;818903667;2017764;113878792;8188918770;818903667;2017764;113878792;8188918770;818903667;2017764;113878792;8188918770;818903667;2017764;113878792;8188918770;818903667;2017764;113878792;8188918770;818903667;2017764;113878792;8188918770;818903667;2017764;113878792;8188918770;818903667;2017764;113878792;8188918770;818903667;2017764;113878792;8188918770;818903667;2017764;113878792;8188918770;818903667;2017764;113878792;8188918770;818903667;2017764;113878792;8188918770;818903667;2017764;113878792;8188918770;818903667;2017764;8188918770;818903667;113878792
RX Errors:
  TxRxDiff;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
