  TidValueString;1;2;5;11;0;1;2;11;0;1;11;0;1;2;11;0;1;2;11;0;2;4;6;7;8;9;10;11;0;1;2;11;0;1;2;11;0;1;2;11;0;1;2;11;0;1;2;11;0;1;2;11;0;1;2;11;0;1;2;11;0;1;2;11;0;1;2;0;1;2;11;0;1;2;11
  Description;Stream number 0;Stream number 0;Stream number 1;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0
TX Totals:
  TxPackets;1602397;115226829;40560;283920;1152267677;1602397;115226829;283920;1152267677;1602397;283920;1152267677;1602397;115226829;283920;1152267677;1602397;115226829;283920;1152267677;115226829;6409594;1602398;1602397;1602396;1602397;1602398;283920;1152267677;1602397;115226829;283920;1152267677;1602397;115226829;283920;1152267677;1602397;115226829;283920;1152267677;1602397;115226829;283920;1152267677;1602397;115226829;283920;1152267677;1602397;115226829;283920;1152267677;1602397;115226829;283920;1152267677;1602397;115226829;283920;1152267677;1602397;115226829;283920;1152267677;1602397;115226829;1152267677;1602397;115226829;283920;1152267677;1602397;115226829;283920
RX Totals:
  RxPercent;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
  RxBpsL1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
  RxBpsL2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
  RxPps;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
  RxBytes;1267022273;12667757190;4458960;31212720;126677432530;1267021997;12667754550;31212720;126677391390;1267021997;31212720;126677364770;1267021827;12667747620;31212720;126677338150;1267021827;12667744980;31212720;126677311530;12667742340;5068422612;1267022880;1267022273;1267021426;1267022762;1267024729;31212720;126677284360;1262903512;12667739700;31212720;126677257080;1266958317;12667737060;31212720;126677151810;1266920803;12667726500;31212720;126677125190;1266954769;12667723860;31212720;126677098570;1266283263;12667721220;31212720;126677071950;1266810155;12667718580;31212720;126677045330;1266947620;12667715720;31212720;126677018490;1266882549;12667712750;31212720;126676990880;1266761841;12667710000;31212720;126676964590;1266710128;12667707140;126676938410;1266812593;12667704500;31212720;126676911020;1266740067;12667701860;31212720
  RxPackets;1601488;115161429;40536;283752;1151613023;1601487;115161405;283752;1151612649;1601487;283752;1151612407;1601486;115161342;283752;1151612165;1601486;115161318;283752;1151611923;115161294;6405973;1601487;1601488;1601488;1601489;1601491;283752;1151611676;1598078;115161270;283752;1151611428;1601433;115161246;283752;1151610471;1601400;115161150;283752;1151610229;1601429;115161126;283752;1151609987;1600914;115161102;283752;1151609745;1601323;115161078;283752;1151609503;1601428;115161052;283752;1151609259;1601376;115161025;283752;1151609008;1601284;115161000;283752;1151608769;1601242;115160974;1151608531;1601320;115160950;283752;1151608282;1601261;115160926;283752
RX Errors:
  TxRxDiff;909;65400;24;168;654654;910;65424;168;655028;910;168;655270;911;65487;168;655512;911;65511;168;655754;65535;3621;911;909;908;908;907;168;656001;4319;65559;168;656249;964;65583;168;657206;997;65679;168;657448;968;65703;168;657690;1483;65727;168;657932;1074;65751;168;658174;969;65777;168;658418;1021;65804;168;658669;1113;65829;168;658908;1155;65855;659146;1077;65879;168;659395;1136;65903;168
  LostPackets;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3407;0;0;0;52;0;0;0;84;0;0;0;54;0;0;0;569;0;0;0;160;0;0;0;54;2;0;0;106;2;0;2;198;3;0;2;239;5;0;161;5;0;0;220;5;0
  MisorderPackets;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
  PayloadErrors;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
  BitErrorRate;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3,37218952955133E-07;0;0;0;5,13039767195435E-09;0;0;0;8,28781086800104E-09;0;0;0;5,32773557916968E-09;0;0;0;5,61683172148189E-08;0;0;0;1,57876852510706E-08;0;0;0;5,32776564196079E-09;1,97352076353668E-11;0;0;1,04587437963044E-08;1,97352122623715E-11;0;1,97352335466212E-12;1,95380056447406E-08;2,96028248199556E-11;0;1,97352376423878E-12;2,35847170869072E-08;4,93380525056881E-11;0;1,5886327710353E-08;4,93380627879345E-11;0;0;2,17092683151073E-08;4,93380730701851E-11;0
RX Latency:
  AggrMinLatency;2070;2559;10272;10513;2559;2070;2559;10513;2559;2062;10513;2559;2070;2559;10489;2583;2046;2559;10537;2559;2583;9078;4836;5045;7105;7081;9246;10537;4483;3706;4507;7482;4483;3697;4483;7506;4507;3706;4507;7506;4507;3714;4507;7506;7033;5927;7009;5028;7033;5838;7009;5053;7137;5943;7137;5109;7137;6039;7137;5085;9711;8284;9687;2631;9639;8316;9687;9711;8284;9687;2607;9687;8300;9735;2679
  AggrAvgLatency;2703;2823;10584;11913;3163;3482;3035;13702;3125;3475;13485;3191;3508;3041;13631;3180;3524;3050;13644;3223;3103;11786;6790;6789;9287;9296;11922;13573;5301;5692;5201;10430;5323;5672;5143;10435;5346;5681;5148;10392;5340;5673;5134;10398;7982;8338;7904;7678;8010;8398;7938;7671;8136;8540;7981;7795;8129;8534;7942;7784;10862;11268;10565;5119;10868;11275;10578;10862;11263;10554;5118;10906;11306;10575;5169
  AggrMaxLatency;7009;15500;22829;34952;18796;18330;18651;44862;15909;15733;41639;18820;18330;18892;44886;18868;18347;18916;44910;19084;18988;47123;33597;33493;37045;39498;43740;46955;21225;29861;21225;34952;21225;29861;21249;34976;21249;29764;21273;35000;21177;29764;21249;35024;24039;28249;23943;30935;24039;28225;23943;30959;24168;28353;24071;31087;24168;28329;24096;31111;26958;34471;26862;27022;26982;26333;26886;26982;34447;26886;26998;26982;34615;26958;27166
  AggrLatencyRange;4939;12941;12557;24439;16237;16260;16092;34349;13350;13671;31126;16261;16260;16333;34397;16285;16301;16357;34373;16525;16405;38045;28761;28448;29940;32417;34494;36418;16742;26155;16718;27470;16742;26164;16766;27470;16742;26058;16766;27494;16670;26050;16742;27518;17006;22322;16934;25907;17006;22387;16934;25906;17031;22410;16934;25978;17031;22290;16959;26026;17247;26187;17175;24391;17343;18017;17199;17271;26163;17199;24391;17295;26315;17223;24487
