Global Stream Statistics Counters:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ID:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  TxPortName,Port 0/0/5,Port 0/0/2,Port 0/4/5,Port 0/4/4,Port 0/2/0,Port 0/2/3,Port 0/4/3,Port 0/0/0,Port 0/0/5,Port 0/0/2,Port 0/4/5,Port 0/2/0,Port 0/2/3,Port 0/4/3,Port 0/0/0,Port 0/0/5,Port 0/4/5,Port 0/2/0,Port 0/2/3,Port 0/4/3,Port 0/0/0,Port 0/0/5,Port 0/0/2,Port 0/4/5,Port 0/2/0,Port 0/2/3,Port 0/4/3,Port 0/0/0,Port 0/0/5,Port 0/0/2,Port 0/4/5,Port 0/2/0,Port 0/2/3,Port 0/4/3,Port 0/0/0,Port 0/0/2,Port 0/4/5,Port 0/2/0,Port 0/2/3,Port 0/4/0,Port 0/4/1,Port 0/4/2,Port 0/4/3,Port 0/0/0,Port 0/0/5,Port 0/0/2,Port 0/4/5,Port 0/2/3,Port 0/4/3,Port 0/0/0,Port 0/0/5,Port 0/0/2,Port 0/4/5,Port 0/2/0,Port 0/2/3,Port 0/4/3,Port 0/0/0,Port 0/0/5,Port 0/0/2,Port 0/4/5,Port 0/2/0,Port 0/2/3,Port 0/4/3,Port 0/0/0,Port 0/0/5,Port 0/0/2,Port 0/4/5,Port 0/2/0,Port 0/4/3,Port 0/0/0,Port 0/0/5,Port 0/0/2,Port 0/4/5,Port 0/2/0,Port 0/2/3,Port 0/4/3,Port 0/0/0,Port 0/0/5,Port 0/0/2,Port 0/4/5,Port 0/2/0,Port 0/2/3,Port 0/4/3,Port 0/0/0,Port 0/0/5,Port 0/0/2,Port 0/4/5,Port 0/2/0,Port 0/2/3,Port 0/4/3,Port 0/0/0,Port 0/0/5,Port 0/0/2,Port 0/4/5,Port 0/2/0,Port 0/2/3,Port 0/4/3,Port 0/0/0,Port 0/0/5,Port 0/0/2,Port 0/4/5,Port 0/2/0,Port 0/2/3,Port 0/4/3,Port 0/0/0,Port 0/0/5,Port 0/0/2,Port 0/4/5,Port 0/2/0,Port 0/2/3,Port 0/0/0,Port 0/0/5,Port 0/0/2,Port 0/4/5,Port 0/2/0,Port 0/2/3,Port 0/4/3,Port 0/0/0,Port 0/0/5,Port 0/0/2,Port 0/2/0,Port 0/2/3,Port 0/4/3,,,,,,,,,,,,,,,,,,,,,,,
  TxPackets,8050334,578892180,32283738,203772,8050337,8050338,1426404,5788921116,8050334,578892180,32283738,8050337,8050338,1426404,5788921116,8050334,32283738,8050337,8050338,1426404,5788921116,8050334,578892180,32283738,8050337,8050338,1426404,5788921116,8050334,578892180,32283738,8050337,8050338,1426404,5788921116,578892180,32283738,8050337,8050338,8050330,8050331,8050332,1426404,5788921116,8050334,578892180,32283738,8050338,1426404,5788921116,8050334,578892180,32283738,8050337,8050338,1426404,5788921116,8050334,578892180,32283738,8050337,8050338,1426404,5788921116,8050334,578892180,32283738,8050337,1426404,5788921116,8050334,578892180,32283738,8050337,8050338,1426404,5788921116,8050334,578892180,32283738,8050337,8050338,1426404,5788921116,8050334,578892180,32283738,8050337,8050338,1426404,5788921116,8050334,578892180,32283738,8050337,8050338,1426404,5788921116,8050334,578892180,32283738,8050337,8050338,1426404,5788921116,8050334,578892180,32283738,8050337,8050338,5788921116,8050334,578892180,32283738,8050337,8050338,1426404,5788921116,8050334,578892180,8050337,8050338,1426404,,,,,,,,,,,,,,,,,,,,,,,
RX Totals:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  RxPercent,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
  RxBpsL1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
  RxBpsL2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
  RxPps,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
  RxBytes,6368735008,63678139800,28904,22414920,1429,1429,156904440,636781322760,6368735008,63678139800,28548,1429,1429,156904440,636781322760,6368735008,28201,1429,1429,156904440,636781322760,6368735008,63678139800,28101,1429,1429,156904440,636781322760,6368735008,63678139800,28019,1429,1429,156904440,636781322760,63678139800,25472817695,6368736874,6368737860,6368732305,6368732719,6368733982,156904440,636781322760,6368494904,63678139800,26035,1429,156904440,636781322760,6368341109,63678139800,24690,1429,1429,156904440,636781322760,6368563158,63678139800,22853,1429,1429,156904440,636781322760,6368573148,63678139800,21349,1429,156904440,636781322760,6367731563,63678139580,19900,1429,1429,156904440,636781321880,6366543305,63678139800,18888,1429,1429,156904440,636781322100,6367831995,63678139800,15623,1429,1429,156904440,636781322320,6367673508,63678139800,14137,1429,1429,156904440,636781322760,6364537023,63678139360,13603,1429,1429,156904440,636781340140,6362193231,63678140900,11919,1429,1429,636781321220,6364128664,63678139360,11390,1429,1429,156904440,636781271720,6105667192,63678127480,1429,1429,156904440,,,,,,,,,,,,,,,,,,,,,,,
  RxPackets,8050334,578892180,39,203772,1,1,1426404,5788921116,8050334,578892180,38,1,1,1426404,5788921116,8050334,36,1,1,1426404,5788921116,8050334,578892180,35,1,1,1426404,5788921116,8050334,578892180,34,1,1,1426404,5788921116,578892180,32201367,8050337,8050338,8050330,8050331,8050332,1426404,5788921116,8050149,578892180,30,1,1426404,5788921116,8050034,578892180,29,1,1,1426404,5788921116,8050196,578892180,27,1,1,1426404,5788921116,8050208,578892180,26,1,1426404,5788921116,8049557,578892178,24,1,1,1426404,5788921108,8048551,578892180,23,1,1,1426404,5788921110,8049614,578892180,18,1,1,1426404,5788921112,8049474,578892180,17,1,1,1426404,5788921116,8046881,578892176,17,1,1,1426404,5788921274,8045024,578892190,15,1,1,5788921102,8046672,578892176,14,1,1,1426404,5788920652,7831943,578892068,1,1,1426404,,,,,,,,,,,,,,,,,,,,,,,
RX Errors:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  TxRxDiff,0,0,32283699,0,8050336,8050337,0,0,0,0,32283700,8050336,8050337,0,0,0,32283702,8050336,8050337,0,0,0,0,32283703,8050336,8050337,0,0,0,0,32283704,8050336,8050337,0,0,0,82371,0,0,0,0,0,0,0,185,0,32283708,8050337,0,0,300,0,32283709,8050336,8050337,0,0,138,0,32283711,8050336,8050337,0,0,126,0,32283712,8050336,0,0,777,2,32283714,8050336,8050337,0,8,1783,0,32283715,8050336,8050337,0,6,720,0,32283720,8050336,8050337,0,4,860,0,32283721,8050336,8050337,0,0,3453,4,32283721,8050336,8050337,0,0,5310,0,32283723,8050336,8050337,14,3662,4,32283724,8050336,8050337,0,464,218391,112,8050336,8050337,0,,,,,,,,,,,,,,,,,,,,,,,
