  TidValueString;3;4;5;0;1;4;0;1;3;4;0;1;3;0;1;3;4;0;1;3;4;0;1;3;4;0;1;3;4;0;1;3;4;0;1;3;4;0;1;3;4;0;1;3;4;0;1;3;4;0;1;3;4;0;1;3;4;0;1;3;4;0;1;3;4;0;1;3;4
  Description;Stream number 0;Stream number 0;Stream number 1;Stream number 0;Stream number 1;Stream number 0;Stream number 0;Stream number 1;Stream number 0;Stream number 0;Stream number 0;Stream number 1;Stream number 0;Stream number 0;Stream number 1;Stream number 0;Stream number 0;Stream number 0;Stream number 1;Stream number 0;Stream number 0;Stream number 0;Stream number 1;Stream number 0;Stream number 0;Stream number 0;Stream number 1;Stream number 0;Stream number 0;Stream number 0;Stream number 1;Stream number 0;Stream number 0;Stream number 0;Stream number 1;Stream number 0;Stream number 0;Stream number 0;Stream number 1;Stream number 0;Stream number 0;Stream number 0;Stream number 1;Stream number 0;Stream number 0;Stream number 0;Stream number 1;Stream number 0;Stream number 0;Stream number 0;Stream number 1;Stream number 0;Stream number 0;Stream number 0;Stream number 1;Stream number 0;Stream number 0;Stream number 0;Stream number 1;Stream number 0;Stream number 0;Stream number 0;Stream number 1;Stream number 0;Stream number 0;Stream number 0;Stream number 1;Stream number 0;Stream number 0
TX Totals:
  TxPackets;1445598;81587313;206514;5866861463;586694592;81587313;5866861463;586694592;1445598;81587313;5866861463;586694592;1445598;5866861463;586694592;1445598;81587313;5866861463;586694592;1445598;81587313;5866861463;586694592;1445598;81587313;5866861463;586694592;1445598;81587313;5866861463;586694592;1445598;81587313;5866861463;586694592;1445598;81587313;5866861463;586694592;1445598;81587313;5866861463;586694592;1445598;81587313;5866861463;586694592;1445598;81587313;5866861463;586694592;1445598;81587313;5866861463;586694592;1445598;81587313;5866861463;586694592;1445598;81587313;5866861463;586694592;1445598;81587313;5866861463;586694592;1445598;81587313
RX Totals:
  RxPercent;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
  RxBpsL1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
  RxBpsL2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
  RxPps;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
  RxBytes;159015780;64536640065;22716540;645354760930;64536405120;64536640065;645354760930;64536405120;159015780;64536640065;645354760930;64536405120;159015780;645354760930;64536405120;159015780;64536640065;645354760930;64536405120;159015780;64536640065;645354760930;64536405120;159015780;64536640065;645354760930;64536405120;159015780;64536640065;645354760930;64536405120;159015780;64536640065;645354760930;64536405120;159015780;64536640065;645354760930;64536405120;159015780;64536640065;645354760930;64536405120;159015780;64536640065;645354760930;64536405120;159015780;64536640065;645354760930;64536405120;159015780;64536640065;645354760930;64536405120;159015780;64536640065;645354760930;64536405120;159015780;64536640065;645354760930;64536405120;159015780;64536640065;645354760930;64536405120;159015780;64536640065
  RxPackets;1445598;81587313;206514;5866861463;586694592;81587313;5866861463;586694592;1445598;81587313;5866861463;586694592;1445598;5866861463;586694592;1445598;81587313;5866861463;586694592;1445598;81587313;5866861463;586694592;1445598;81587313;5866861463;586694592;1445598;81587313;5866861463;586694592;1445598;81587313;5866861463;586694592;1445598;81587313;5866861463;586694592;1445598;81587313;5866861463;586694592;1445598;81587313;5866861463;586694592;1445598;81587313;5866861463;586694592;1445598;81587313;5866861463;586694592;1445598;81587313;5866861463;586694592;1445598;81587313;5866861463;586694592;1445598;81587313;5866861463;586694592;1445598;81587313
RX Errors:
  TxRxDiff;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
  LostPackets;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
  MisorderPackets;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
  PayloadErrors;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
  BitErrorRate;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
RX Latency:
  AggrMinLatency;2559;2190;2631;2559;2559;2214;2559;2583;2583;2214;2559;2559;2559;2583;2559;2583;2214;2559;2559;2583;2230;3850;3850;3874;3168;3802;3850;3826;3168;3850;3874;3898;3168;3850;3874;3874;3168;6303;6351;6376;5237;6327;6376;6376;5213;6376;6472;6400;5309;6376;6472;6448;5285;8877;8997;8901;7402;8829;8997;8877;7402;8877;8997;8925;7378;8877;9022;8925;7378
  AggrAvgLatency;3327;2840;2878;3174;2946;3661;3197;2959;5013;3683;3142;2885;4949;3193;2948;5039;3689;3202;2940;5042;3688;4701;4439;6569;5248;4686;4448;6557;5270;4706;4448;6574;5279;4691;4439;6561;5239;7338;7051;9216;7969;7333;7062;9211;7966;7416;7122;9291;8033;7413;7115;9289;8035;10111;9784;11990;10736;10108;9787;11988;10738;10125;9784;12004;10756;10127;9795;12005;10777
  AggrMaxLatency;16847;20744;15211;16366;16174;20784;16270;16101;30053;33813;4892;4555;21297;16270;16126;30029;33838;16270;16126;30005;33838;17849;17777;31681;35393;17849;17825;31633;35297;17873;17753;31657;35393;17825;17825;31657;35345;20640;20568;34399;38207;20640;20568;34399;38111;20688;20616;34471;38280;20688;20616;34495;38280;23526;23358;37213;41022;23526;23382;37213;41022;23550;23382;37237;41046;23502;23358;37261;41046
  AggrLatencyRange;14288;18554;12580;13807;13615;18570;13711;13518;27470;31599;2333;1996;18738;13687;13567;27446;31624;13711;13567;27422;31608;13999;13927;27807;32225;14047;13975;27807;32129;14023;13879;27759;32225;13975;13951;27783;32177;14337;14217;28023;32970;14313;14192;28023;32898;14312;14144;28071;32971;14312;14144;28047;32995;14649;14361;28312;33620;14697;14385;28336;33620;14673;14385;28312;33668;14625;14336;28336;33668
  CurrMinLatency;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A
  CurrAvgLatency;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A
  CurrMaxLatency;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A
  CurrLatencyRange;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A
RX Jitter:
  AggrMinJitter;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
  AggrAvgJitter;0;5;0;98;44;77;97;45;0;77;92;35;0;99;45;0;77;100;43;0;77;114;55;0;78;112;50;0;78;112;54;0;78;115;51;0;78;118;61;0;79;120;59;0;79;119;60;0;78;116;60;0;78;127;69;0;80;130;69;0;80;125;71;0;80;127;69;0;80
  AggrMaxJitter;13518;17920;12436;13542;13494;18072;13470;13398;27181;30949;2188;1876;18569;13446;13422;27133;30949;13590;13398;27325;31086;13783;13566;27638;30917;13783;13686;27638;30869;13807;13542;27518;30917;13807;13590;27662;30917;13975;13807;27710;31182;13927;13807;27710;31086;13951;13783;27686;31182;13951;13783;27734;31182;14192;13831;27830;31182;14192;13903;27830;31182;14192;13975;27830;31158;14192;13879;27854;31158
  AggrJitterRange;13518;17920;12436;13542;13494;18072;13470;13398;27181;30949;2188;1876;18569;13446;13422;27133;30949;13590;13398;27325;31086;13783;13566;27638;30917;13783;13686;27638;30869;13807;13542;27518;30917;13807;13590;27662;30917;13975;13807;27710;31182;13927;13807;27710;31086;13951;13783;27686;31182;13951;13783;27734;31182;14192;13831;27830;31182;14192;13903;27830;31182;14192;13975;27830;31158;14192;13879;27854;31158
  CurrMinJitter;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
  CurrAvgJitter;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
  CurrMaxJitter;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
  CurrJitterRange;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
